0100  , 
0101  , 
0150  , 
0151 LD D, A
0152  , 
0153 LD SP, E000
0156 LD HL, DFFF
0159 LD C, 20
015B LD B, 00
015D HL-- (HL), A
015E  , 
015F  , 
015D HL-- (HL), A
015E  , 
015F  , 
015D HL-- (HL), A
015E  , 
015F  , 
015D HL-- (HL), A
015E  , 
015F  , 
015D HL-- (HL), A
015E  , 
015F  , 
015D HL-- (HL), A
015E  , 
015F  , 
015D HL-- (HL), A
015E  , 
015F  , 
015D HL-- (HL), A
015E  , 
015F  , 
015D HL-- (HL), A
015E  , 
015F  , 
015D HL-- (HL), A
015E  , 
015F  , 
015D HL-- (HL), A
015E  , 
015F  , 
015D HL-- (HL), A
015E  , 
015F  , 
015D HL-- (HL), A
015E  , 
015F  , 
015D HL-- (HL), A
015E  , 
015F  , 
015D HL-- (HL), A
015E  , 
015F  , 
015D HL-- (HL), A
015E  , 
015F  , 
015D HL-- (HL), A
015E  , 
015F  , 
015D HL-- (HL), A
015E  , 
015F  , 
015D HL-- (HL), A
015E  , 
015F  , 
015D HL-- (HL), A
015E  , 
015F  , 
015D HL-- (HL), A
015E  , 
015F  , 
